CONTAINER ID   IMAGE                                             COMMAND                  CREATED      STATUS                   PORTS                                                                                          NAMES
e2b8715e72d0   finalsearchengine-search-api                      "uvicorn app:app --hΓÇª"   3 days ago   Up 8 minutes             0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                                                    search-api
9c90ef415ac1   opensearchproject/opensearch-dashboards:2.11.1    "./opensearch-dashboΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:5601->5601/tcp, [::]:5601->5601/tcp                                                    opensearch-dashboards
925c6068fd26   manticoresearch/manticore:latest                  "docker-entrypoint.sΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:9306->9306/tcp, [::]:9306->9306/tcp, 0.0.0.0:9308->9308/tcp, [::]:9308->9308/tcp       manticore
a9fbd98fef2b   opensearchproject/opensearch:2.11.1               "./opensearch-dockerΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp, 0.0.0.0:9300->9300/tcp, [::]:9300->9300/tcp       opensearch
0e8d56903813   qdrant/qdrant:latest                              "./entrypoint.sh"        6 days ago   Up 8 minutes             0.0.0.0:6333-6334->6333-6334/tcp, [::]:6333-6334->6333-6334/tcp                                qdrant
9d445cf775e7   redis/redis-stack:latest                          "/entrypoint.sh"         6 days ago   Up 8 minutes             0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp, 0.0.0.0:8001->8001/tcp, [::]:8001->8001/tcp       redisearch
932df0779277   benbusby/whoogle-search:latest                    "/bin/sh -c 'misc/toΓÇª"   6 days ago   Up 8 minutes (healthy)   0.0.0.0:5000->5000/tcp, [::]:5000->5000/tcp                                                    whoogle
976e74e76f5f   solr:9                                            "docker-entrypoint.sΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:8983->8983/tcp, [::]:8983->8983/tcp                                                    solr
a536019278fb   typesense/typesense:27.1                          "/opt/typesense-servΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:8108->8108/tcp, [::]:8108->8108/tcp                                                    typesense
a1c008f38402   searxng/searxng:latest                            "/sbin/tini -- /usr/ΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                                                    searxng
e6900549f94f   valeriansaliou/sonic:latest                       "sonic -c /etc/sonicΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:1491->1491/tcp, [::]:1491->1491/tcp                                                    sonic
7fba495b5b39   yacy/yacy_search_server:latest                    "/__cacert_entrypoinΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:8090->8090/tcp, [::]:8090->8090/tcp, 0.0.0.0:8443->8443/tcp, [::]:8443->8443/tcp       yacy
8888cb7154a5   public.ecr.aws/zinclabs/zincsearch:latest         "/go/bin/zincsearch"     6 days ago   Up 8 minutes             0.0.0.0:4080->4080/tcp, [::]:4080->4080/tcp                                                    zincsearch
6404fb7da7fe   quickwit/quickwit:latest                          "quickwit run"           6 days ago   Up 8 minutes             0.0.0.0:7280->7280/tcp, [::]:7280->7280/tcp                                                    quickwit
8e0b7d76733d   cr.weaviate.io/semitechnologies/weaviate:1.28.4   "/bin/weaviate --hosΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp, 0.0.0.0:8085->8080/tcp, [::]:8085->8080/tcp   weaviate
d73ee4a01261   getmeili/meilisearch:latest                       "tini -- /bin/sh -c ΓÇª"   6 days ago   Up 8 minutes             0.0.0.0:7700->7700/tcp, [::]:7700->7700/tcp                                                    meilisearch
